city,category_kappa_delta,category_vertical,category_alpha_beta
Abidjan,Uniform Sparse Construction → Uniform Dense Construction,"Low-Scale, Pyramid → Low-Scale, Crown",
Addis Ababa,,"Low-Scale, Volcanic → Low-Scale, Pyramid",
Ahmedabad,,"Low-Scale, Pyramid → Low-Scale, Volcanic",
Bandung,,"Low-Scale, Crown → High-Scale, Crown",
Bangalore,Uniform Sparse Construction → Uniform Dense Construction,"High-Scale, Pyramid → Low-Scale, Volcanic",
Bangui,,"Low-Scale, Pyramid → Low-Scale, Crown",
Batam,,"High-Scale, Crown → Low-Scale, Crown",
Belo Horizonte,Uniform Sparse Construction → Uniform Dense Construction,,
Bobo-Dioulasso,"Uniform Sparse Construction → Small Core, Sparse Periphery",,
Bogota,,"High-Scale, Pyramid → High-Scale, Crown",
Bujumbura,,,Uniform Constrained Landscape → Uniform Developable Landscape
Chennai,,"High-Scale, Crown → Low-Scale, Crown",
Delhi,,"High-Scale, Pyramid → High-Scale, Crown","Core Open, Edge Locked → Uniform Developable Landscape"
Guayaquil,,"High-Scale, Crown → Low-Scale, Crown",
Hanoi,,,Uniform Constrained Landscape → Uniform Developable Landscape
Johannesburg,,"Low-Scale, Crown → High-Scale, Crown",
Karachi,"Small Core, Sparse Periphery → Dense Core, Sparse Periphery",,
Kathmandu,,"High-Scale, Crown → Low-Scale, Crown",
Kumasi,"Small Core, Sparse Periphery → Uniform Sparse Construction","Low-Scale, Volcanic → Low-Scale, Crown",
La Paz,"Uniform Sparse Construction → Small Core, Sparse Periphery",,
Lagos,Uniform Sparse Construction → Uniform Dense Construction,"Low-Scale, Volcanic → Low-Scale, Pyramid",
Luanda,,,Uniform Developable Landscape → Uniform Constrained Landscape
Lusaka,"Small Core, Sparse Periphery → Uniform Sparse Construction",,
Makassar,"Uniform Dense Construction → Dense Core, Sparse Periphery",,
Medellin,Uniform Sparse Construction → Uniform Dense Construction,,
Mexico City,,"High-Scale, Crown → Low-Scale, Crown",
Mombasa,Uniform Sparse Construction → Uniform Dense Construction,,
Oran,,"High-Scale, Crown → High-Scale, Pyramid",
Palembang,"Small Core, Sparse Periphery → Dense Core, Sparse Periphery",,
Phnom Penh,"Uniform Dense Construction → Dense Core, Sparse Periphery",,
Pune,,"High-Scale, Volcanic → Low-Scale, Volcanic",
Queretaro,,"Low-Scale, Pyramid → Low-Scale, Volcanic",
Sao Paulo,"Dense Core, Sparse Periphery → Small Core, Sparse Periphery",,
Tegucigalpa,"Small Core, Sparse Periphery → Uniform Sparse Construction",,
