city,alpha_prob_delta,beta_delta,kappa_prob_delta,delta_delta,A_delta,B_delta,C_delta,Name,continent,alpha_beta_name,alpha_beta_short,kappa_delta_name,kappa_delta_short,height_name,height_short
Kigali,-0.04043879285550511,0.0059684161823720105,0.004805735734095262,0.005299092000000005,-0.42555137899999984,0.011960443,-0.00046311999999999997,Kigali,Africa,"Constraint relaxing, edge-locked","Constraint down, steep","Dense core, sparse periphery",Dense core,Low Volcanic,Low Volcanic
Conakry,0.005300168095656921,-0.008963183636078897,0.05305718976482915,0.0028240900000000013,0.45581466499999923,0.0076768819999999995,-0.000515461,Conakry,Africa,Core constraint rising,"Constraint up, flat","Dense core, sparse periphery",Dense core,High Volcanic,High Volcanic
Abuja,-0.036398075223128545,0.01276855274999289,-0.006328182681874461,-0.001801239999999999,-0.6838962579999999,-0.029441774000000004,0.0018836329999999996,Abuja,Africa,"Constraint relaxing, edge-locked","Constraint down, steep",Uniform sparse construction,Sparse uniform,Low Crown,Low Crown
Aba,-0.007530899745559816,0.015460453911621513,-0.02259052902080877,0.0005596840000000047,-0.036047916000000235,-0.0039557829999999974,0.000353709,Aba,Africa,"Constraint relaxing, edge-locked","Constraint down, steep","Small core, sparse periphery",Small core,Low Crown,Low Crown
Brazzaville,0.01696166562954038,0.01991829086507871,-0.009865333546967003,-0.008904754,0.26987528499999947,0.0006380410000000024,6.346300000000004e-05,Brazzaville,Africa,"Core constraint rising, steep gradient","Constraint up, steep",Uniform sparse construction,Sparse uniform,High Bowl,High Bowl
Freetown,0.006900553962169265,-0.008231879649449297,0.02303138338426375,-0.0002085739999999961,-0.2561220430000004,-0.004275641,0.00020932399999999994,Freetown,Africa,Core constraint rising,"Constraint up, flat",Uniform dense construction,Dense uniform,Low Crown,Low Crown
Mombasa,-0.0069346745501863705,-0.00012831436031229826,0.003793180454448153,-0.006449263999999996,-0.742108913,0.011391732999999994,-0.00016060300000000005,Mombasa,Africa,"Constraint relaxing, uniform spread","Constraint down, flat",Uniform dense construction,Dense uniform,Low Volcanic,Low Volcanic
Monrovia,-0.0215699332753283,-0.004914034770868006,0.060643160035712185,-0.01693921100000001,1.1539407079999995,-0.021125183,0.00040843999999999993,Monrovia,Africa,"Constraint relaxing, uniform spread","Constraint down, flat",Uniform dense construction,Dense uniform,High Crown,High Crown
Lilongwe,-0.06041432360317045,0.0309919086457367,0.024991313830952933,-0.013874984,-0.12419982400000062,0.0026276470000000003,-0.000212623,Lilongwe,Africa,"Constraint relaxing, edge-locked","Constraint down, steep",Uniform dense construction,Dense uniform,Low Volcanic,Low Volcanic
Niamey,-0.028091893874319068,-0.0017956500825946908,0.02594128941453394,0.004006594000000002,-0.0822701539999997,0.020946248999999997,-0.0010924139999999999,Niamey,Africa,"Constraint relaxing, uniform spread","Constraint down, flat","Dense core, sparse periphery",Dense core,Low Volcanic,Low Volcanic
