distance_m,empirical_cumulative_volume_m3,model_cumulative_volume_m3
140.97785211875006,1560280.468347,0.0
422.93355635625016,3657288.085857,860761.5225730329
704.8892605937504,6220767.3833695,2539950.3844460687
986.8449648312504,9059218.3616805,4989289.650282886
1268.8006690687507,10079603.1274005,8160709.541728662
1550.7563733062507,11555525.588380001,12006448.924558498
1832.7120775437506,14866929.104980001,16479160.143656343
2114.667781781251,21245453.518718,21532016.349497307
2396.623486018751,28669293.752796,27118820.38041395
2678.5791902562514,35955864.262031004,33194114.198606916
2960.5348944937514,43446815.239164,39713287.82697733
3242.4905987312513,51170395.901776,46632686.70046138
3524.4463029687513,58864299.417861,53909716.33126697
3806.4020072062517,66424720.704963,61502943.193383195
4088.357711443752,75264337.698253,69372190.7585219
4370.313415681252,84149474.417224,77478629.66321342
4652.269119918752,94420931.058099,85784861.05443975
4934.224824156252,104141718.94747451,94254992.24764982
5216.180528393752,113625157.22710401,102854703.93437469
5498.136232631253,123821655.273531,111551308.29453218
5780.091936868753,135155264.25913802,120313797.49802384
6062.047641106253,146306156.8365645,129112882.21819495
6344.003345343753,158251928.7127155,137921019.9227395
6625.959049581253,170447144.7266195,146712432.8521973
6907.9147538187535,184667138.08443952,155463115.73884836
7189.8704580562535,198554861.32667053,164150833.45627278
7471.826162293753,213150641.20830652,172755108.91908944
7753.781866531253,228034809.17640352,181257201.67076617
8035.737570768753,243526490.62219453,189640077.70270073
8317.693275006253,259095823.04498154,197888371.13829166
8599.648979243753,275631575.9746385,205988338.4902637
8881.604683481255,293079247.65498555,213927806.25741813
9163.560387718753,310320610.15766555,221696112.66809073
9445.516091956255,327720789.0694966,229284044.40223813
9727.471796193753,344019021.8822536,236683769.1329697
10009.427500431255,358457285.9430616,243888764.72260472
10291.383204668753,371093939.2631631,250893745.88932544
10573.338908906255,382654195.9041761,257694589.12983477
10855.294613143757,393762124.0281841,264288256.64281964
11137.250317381255,403624606.2556041,270672719.9492952
11419.206021618756,411941269.5363711,276846883.85084844
11701.161725856255,419625542.5848711,282810511.3071836
11983.117430093756,426902491.8031811,288564149.7518569
12265.073134331255,432993407.4283181,294109059.3011937
12547.028838568756,438926200.7881711,299447143.2474978
12828.984542806254,444410673.8345131,304580881.16496146
13110.940247043756,450838822.0771631,309513264.8961985
13392.895951281254,458436201.5685261,314247737.62985486
13674.851655518756,465663510.1622091,318788136.2259643
13956.807359756258,472146277.9346416,323138636.89606434
14238.763063993756,479183937.8944496,327303704.2999023
14520.718768231258,486084412.50357556,331288044.08000743
14802.674472468756,493097796.29141057,335096558.819537
15084.630176706258,499464208.0108266,338734307.37757814
15366.585880943756,505603221.6823656,342206467.52935326
15648.541585181258,510739614.2596686,345518301.81634134
15930.497289418756,515280901.9549136,348675126.4929263
16212.452993656258,519863529.6888306,351682283.4415253
16494.408697893756,523715762.8914156,354545114.9169125
16776.364402131258,526594777.1479386,357268940.9723144
17058.32010636876,528836984.9612786,359859039.4144634
17340.275810606257,531040520.11811864,362320628.131845
17622.231514843756,533022153.32043165,364658849.6395252
17904.187219081257,534820359.56994665,366878757.68490624
18186.14292331876,536936487.6949416,368985305.76124537
18468.09862755626,539322658.9849147,370983337.37951523
18750.05433179376,541102132.0323147,372877577.9539538
19032.010036031257,542593712.8913347,374672628.16222364
19313.96574026876,544193088.8678067,376372958.64728683
19595.92144450626,545517527.3444216,377982905.93473035
19877.87714874376,546774693.7509116,379506669.44619846
20159.832852981257,547702688.8682766,380948309.4966792
20441.78855721876,548354772.4620765,382311746.1705356
20723.74426145626,548821765.4308566,383600758.9782877
21005.69996569376,549177235.9386716,384818987.2031496
21287.65566993126,549322943.5557415,385969930.8531613
21569.61137416876,549565014.8442715,387056952.14136106
21851.56707840626,549639173.4379416,388083277.4228027
22133.522782643762,549797894.3363615,389051999.5232847
22415.47848688126,550038941.7970415,389966080.40042466
22697.43419111876,550544737.8904716,390828354.08315533
22979.38989535626,550881946.2892716,391641529.84083945
23261.345599593762,551133234.1798916,392408195.53799677
23543.30130383126,551367366.0160335,393130821.1351086
23825.25700806876,551814665.0394535,393811762.3001215
24107.21271230626,552279922.0708635,394453264.0991205
24389.168416543762,552620406.2502985,395057464.7381933
24671.124120781264,552825604.2972485,395626399.33177376
24953.07982501876,552945942.3831085,396162003.67574984
25235.03552925626,552972531.4455885,396666118.006358
25516.99123349376,553009106.8361485,397140490.7283861
25798.946937731263,553024055.6641985,397586782.0984728
26080.90264196876,553024055.6641985,398006567.85135096
26362.85834620626,553024277.7345085,398401342.7587396
26644.81405044376,553024277.7345085,398772524.11226314
26926.769754681263,553024277.7345085,399121455.1232821
27208.72545891876,553024522.8516985,399449408.23386437
27490.681163156263,553024522.8516985,399757588.33432966
27772.63686739376,553024522.8516985,400047135.8838678
28054.592571631263,553024522.8516985,400319129.93167925
