distance_m,empirical_cumulative_volume_m3,model_cumulative_volume_m3
139.7470827609325,2904073.43657,0.0
419.2412482827975,10418931.24715,2041044.7671732637
698.7354138046626,19939038.475589998,6042042.4385327995
978.2295793265275,31105894.922909997,11911048.456214953
1257.7237448483925,42388620.704836994,19556983.360544205
1537.2179103702574,54505942.969941996,28889651.88332165
1816.7120758921226,66878254.495069996,39819768.97677592
2096.2062414139873,80801641.209392,52258992.77308651
2375.7004069358527,98343596.872062,66119964.40800394
2655.194572457717,116897340.61921,81316354.57541884
2934.6887379795826,139656254.099579,97762916.60842402
3214.1829035014475,164631658.987829,115375545.80729356
3493.6770690233125,189515614.840545,134071344.6568871
3773.171234545178,215248041.4064335,153768693.49644879
4052.6654000670424,241181644.14477548,174387326.12496066
4332.159565588907,268387688.088605,195848409.7466062
4611.653731110773,299793205.076555,218074628.58509701
4891.147896632638,332237868.16574603,240990270.42428994
5170.642062154502,366125604.09774804,264521315.2673804
5450.1362276763675,404376020.88767755,288595525.2496914
5729.630393198233,444236435.34519154,313142534.8923383
6009.124558720097,483779388.26898104,338093940.74733996
6288.618724241962,523510047.4466695,363383389.46043396
6568.112889763828,564619176.747134,388946663.2670535
6847.607055285693,603069274.409143,414721761.94051194
7127.101220807557,646528060.7397774,440648980.22995603
7406.595386329423,688459662.886846,466670979.85929585
7686.089551851288,730898513.2758144,492732855.20695126
7965.5837173731525,772655364.2540009,518782191.8493211
8245.077882895017,813451586.9115499,544769117.2274799
8524.572048416881,854757310.7504884,570646342.785478
8804.066213938748,895589461.5356665,596369197.0281693
9083.560379460612,935222874.2264174,621895649.0548507
9363.054544982479,972965133.9937575,647186322.2400688
9642.548710504343,1009285512.1207845,672204497.8524545
9922.042876026208,1046547186.7284136,696916108.5240482
10201.537041548072,1081881891.609473,721289721.6038408
10481.031207069936,1113745063.685626,745296512.5478811
10760.525372591803,1146172368.7628796,768910228.6120058
11040.019538113667,1179879705.675604,792107143.220009
11319.513703635534,1212632905.8665197,814866001.4780363
11599.007869157398,1246083519.3458643,837167957.3936114
11878.502034679263,1279354293.3666184,858996503.4337467
12157.996200201127,1313355430.473398,880337393.120116
12437.490365722992,1343372116.7987335,901178557.4097244
12716.984531244858,1369488148.8311214,921510015.64663
12996.478696766722,1393212921.4886274,941323781.8941462
13275.972862288589,1415572121.6819854,960613767.4679501
13555.467027810453,1439660935.746213,979375680.4892737
13834.961193332318,1463302292.5776374,997606923.2647346
14114.455358854182,1486494325.977365,1015306488.2764028
14393.949524376047,1509808783.400735,1032474853.5336026
14673.443689897913,1534419734.57497,1049113877.9979894
14952.937855419777,1557087257.0354226,1065226697.7469497
15232.432020941642,1578743379.3041565,1080817623.4887176
15511.926186463508,1596393050.3968081,1095892039.9870853
15791.420351985373,1614874043.169105,1110456307.8955042
16070.914517507237,1632876783.010355,1124517668.4409075
16350.408683029102,1650514276.369582,1138084151.3378303
16629.902848550966,1667798105.2741005,1151164486.2543542
16909.397014072834,1684623268.9437335,1163768018.0938892
17188.8911795947,1701456763.0844605,1175904626.301582
17468.385345116563,1718943820.3101826,1187584648.3517919
17747.879510638428,1736942129.2929285,1198818807.5240617
18027.373676160292,1753239753.5089984,1209618145.029722
18306.867841682157,1767322552.1410675,1219993956.5098898
18586.36200720402,1782255293.5473726,1229957732.8883502
18865.856172725886,1797015571.869589,1239521105.529639
19145.350338247754,1809591620.5007012,1248695795.6235924
19424.84450376962,1823157150.5781207,1257493567.6925576
19704.338669291483,1835928231.6326606,1265926187.0962465
19983.832834813347,1848806333.0012276,1274005381.3916445
20263.32700033521,1861085327.7228615,1281742805.3912492
20542.821165857076,1870729986.9030986,1289150009.7519403
20822.315331378944,1878941887.6838536,1296238412.9187152
21101.80949690081,1885753636.1205015,1303019276.2420905
21381.303662422673,1893061630.26089,1309503682.0848835
21660.797827944538,1899366437.2934854,1315702514.7330902
21940.291993466402,1904945401.3565724,1321626443.926393
22219.786158988267,1910031572.6471703,1327285910.8262162
22499.28032451013,1914461476.1627693,1332691116.2429628
22778.774490031996,1918481328.8968973,1337852010.948896
23058.268655553864,1921477382.6079323,1342778287.9088478
23337.76282107573,1923940161.9044623,1347479376.2674017
23617.256986597593,1925860730.0687423,1351964436.9381833
23896.751152119457,1927504854.2880023,1356242359.6483107
24176.245317641322,1928269963.6633372,1360321761.2987206
24455.739483163186,1928678461.3197072,1364210985.5089207
24735.233648685055,1929220151.1631272,1367918103.2225966
25014.72781420692,1929644754.4835172,1371450914.2583554
25294.221979728783,1929869355.8508773,1374816949.6976295
25573.716145250648,1929972349.7962172,1378023475.0093496
25853.210310772512,1930097115.4211571,1381077493.8183594
26132.704476294377,1930651127.725649,1383985752.2316642
26412.19864181624,1930766246.084999,1386754743.643435
26691.692807338106,1930922239.639609,1389390713.9462218
26971.186972859974,1931107641.397566,1391899667.082034
27250.68113838184,1931256731.827116,1394287370.8728263
27530.175303903703,1931306779.873996,1396559363.0754712
27809.669469425568,1931309537.1005561,1398720957.611506
