distance_m,cv_model_m3,cv_empirical_m3
0, -   ,0
47.07106915," 12,360 ",26603.90622
94.14213831," 49,329 ",179028.125
141.2132075," 110,680 ",384497.6533
188.2842766," 196,189 ",705149.0242
235.3553458," 305,629 ",1042693.895
282.4264149," 438,777 ",1560867.06
329.4974841," 595,406 ",1863502.929
376.5685532," 775,292 ",2187410.613
423.6396224," 978,208 ",2551826.953
470.7106915," 1,203,932 ",2966062.5
517.7817607," 1,452,236 ",3272541.152
564.8528299," 1,722,896 ",3666086.523
611.923899," 2,015,688 ",3971125.977
658.9949682," 2,330,388 ",4545075.578
706.0660373," 2,666,769 ",5099416.992
753.1371065," 3,024,608 ",5541038.281
800.2081756," 3,403,682 ",5866862.305
847.2792448," 3,803,765 ",6232112.891
894.3503139," 4,224,634 ",6728033.984
941.4213831," 4,666,065 ",7198454.004
988.4924523," 5,127,835 ",7844516.994
1035.563521," 5,609,721 ",8303557.815
1082.634591," 6,111,499 ",8739002.151
1129.70566," 6,632,947 ",9078359.768
1176.776729," 7,173,843 ",9512546.487
1223.847798," 7,733,964 ",9648124.026
1270.918867," 8,313,088 ",9780004.299
1317.989936," 8,910,995 ",9879320.51
1365.061005," 9,527,462 ",9982967.776
1412.132075," 10,162,268 ",10083211.05
1459.203144," 10,815,194 ",10272261.53
1506.274213," 11,486,019 ",10462391.21
1553.345282," 12,174,523 ",10666993.75
1600.416351," 12,880,486 ",10876385.35
1647.48742," 13,603,690 ",11173344.73
1694.55849," 14,343,916 ",11580861.72
1741.629559," 15,100,946 ",11974400.39
1788.700628," 15,874,563 ",12429294.73
1835.771697," 16,664,548 ",12936601.17
1882.842766," 17,470,685 ",13426629.3
1929.913835," 18,292,758 ",14123543.75
1976.984905," 19,130,550 ",14922862.11
2024.055974," 19,983,848 ",15780721.68
2071.127043," 20,852,436 ",16714207.29
2118.198112," 21,736,099 ",17699632.08
2165.269181," 22,634,624 ",18865537.11
2212.34025," 23,547,798 ",20037018.62
2259.411319," 24,475,409 ",21337447.66
2306.482389," 25,417,245 ",22606439.07
2353.553458," 26,373,094 ",23790020.9
2400.624527," 27,342,746 ",25103355.47
2447.695596," 28,325,991 ",26291040.43
2494.766665," 29,322,619 ",27493607.23
2541.837734," 30,332,422 ",28776837.11
2588.908804," 31,355,192 ",29973963.21
2635.979873," 32,390,722 ",31182289.28
2683.050942," 33,438,805 ",32416242.78
2730.122011," 34,499,236 ",33699337.9
2777.19308," 35,571,808 ",34830144.74
2824.264149," 36,656,319 ",36070291.22
2871.335218," 37,752,564 ",37168344.73
2918.406288," 38,860,341 ",38373188.68
2965.477357," 39,979,448 ",39608952.94
3012.548426," 41,109,683 ",40854958.14
3059.619495," 42,250,847 ",42198108.21
3106.690564," 43,402,739 ",43612275.4
3153.761633," 44,565,162 ",44914456.32
3200.832703," 45,737,917 ",46191486.14
3247.903772," 46,920,808 ",47556450.19
3294.974841," 48,113,639 ",48860079.69
3342.04591," 49,316,214 ",50131648.54
3389.116979," 50,528,339 ",51327857.07
3436.188048," 51,749,822 ",52563056.84
3483.259117," 52,980,469 ",53805955.67
3530.330187," 54,220,091 ",55069783.21
3577.401256," 55,468,495 ",56422545.32
3624.472325," 56,725,493 ",57757020.99
3671.543394," 57,990,896 ",59032517
3718.614463," 59,264,518 ",60233160.75
3765.685532," 60,546,171 ",61455754.89
3812.756602," 61,835,670 ",62668801.66
3859.827671," 63,132,832 ",63887788.87
3906.89874," 64,437,472 ",65222234.77
3953.969809," 65,749,408 ",66626183.6
4001.040878," 67,068,460 ",68049585.35
4048.111947," 68,394,447 ",69488301.19
4095.183016," 69,727,191 ",70991846.8
4142.254086," 71,066,513 ",72600711.33
4189.325155," 72,412,236 ",74093584.1
